Gene	sgRNA	eff
LacZ	LacZ_261	1
LacZ	LacZ_16	1
LacZ	LacZ_165	1
LacZ	LacZ_184	1
LacZ	LacZ_87	1
LacZ	LacZ_249	1
LacZ	LacZ_98	1
LacZ	LacZ_35	1
LacZ	LacZ_48	1
LacZ	LacZ_251	1
LacZ	LacZ_161	1
LacZ	LacZ_125	1
LacZ	LacZ_137	1
LacZ	LacZ_53	1
LacZ	LacZ_92	1
LacZ	LacZ_174	1
LacZ	LacZ_271	1
LacZ	LacZ_9	1
LacZ	LacZ_65	1
LacZ	LacZ_170	1
LacZ	LacZ_127	1
LacZ	LacZ_199	1
LacZ	LacZ_200	1
LacZ	LacZ_112	1
LacZ	LacZ_195	1
LacZ	LacZ_23	1
LacZ	LacZ_197	1
LacZ	LacZ_69	1
LacZ	LacZ_147	1
LacZ	LacZ_24	1
LacZ	LacZ_21	1
